Name,Year,Date,Comp,Age,Event,Location,Place,Round,Time,Time_sec,Partner
JB,2017,23/8/17,World Champs,Open,WK1 500m,Czech Republic,9,Final,01:54.2,114.2,
JB,2017,10/3/17,Nationals,Open,WK1 500m,SIRC,2,Final,01:56.0,116,
JB,2017,10/3/17,Nationals,Open,WK2 500m,SIRC,3,Final,01:49.9,109.9,Hannah Minogue
JB,2018,10/3/18,Nationals,Open,WK1 200m,SIRC,2,Final,00:40.2,40.2,
JB,2018,10/3/18,Nationals,Open,WK1 500m,SIRC,3,Final,01:53.8,113.8,
JB,2018,6/3/18,Nationals,Open,WK1 500m,SIRC,1,Heat,01:52.2,112.2,
JB,2018,23/8/18,World Champs,Open,WK2 200m,Portugal,8,Final,00:37.8,37.8,Jaime Roberts
JB,2018,10/3/18,Nationals,Open,WK2 200m,SIRC,1,Final,00:38.2,38.2,Jaime Roberts
JB,2018,10/3/18,Nationals,Open,WK2 500m,SIRC,2,Final,01:42.0,102,Jaime Roberts
JB,2019,10/3/19,Nationals,Open,WK1 200m,Perth,2,Final,00:40.5,40.5,
JB,2019,10/3/19,Nationals,Open,WK1 500m,Perth,3,Final,01:51.7,111.7,
JB,2019,10/3/19,Nationals,Open,WK2 200m,Perth,1,Final,00:37.7,37.7,Jaime Roberts
JB,2019,10/3/19,Nationals,Open,WK2 500m,Perth,2,Final,01:42.7,102.7,Jaime Roberts
JB,2020,16/3/20,Nationals,Open,WK1 200m,SIRC,1,Final,00:39.8,39.8,
JB,2020,16/3/20,Nationals,Open,WK1 500m,SIRC,2,Final,01:54.4,114.4,
JB,2020,16/3/20,Nationals,Open,WK2 200m,SIRC,1,Final,00:38.9,38.9,Jaime Roberts
JB,2020,16/3/20,Nationals,Open,WK2 500m,SIRC,2,Final,01:43.9,103.9,Jaime Roberts
JH,2013,4/4/13,Nationals,U14,MK1 1000m,Perth,1,Final,04:25.0,265,
JH,2013,6/4/13,Nationals,U14,MK1 200m,Perth,3,Final,00:49.0,49,
JH,2013,7/4/13,Nationals,U14,MK1 500m,Perth,1,Final,02:12.5,132.5,
JH,2013,4/4/13,Nationals,U14,MK2 1000m,Perth,1,Final,04:30.1,270.1,Angus Schmidt
JH,2013,6/4/13,Nationals,U14,MK2 200m,Perth,1,Final,00:49.1,49.1,Jakob Hammond
JH,2013,7/4/13,Nationals,U14,MK2 500m,Perth,2,Final,02:10.5,130.5,Angus Schmidt
JH,2014,30/3/14,Nationals,U16,MK1 1000m,Adelaide,1,B Final,04:15.4,255.4,
JH,2014,29/3/14,Nationals,U16,MK1 200m,Adelaide,5,Semi-Final,00:45.8,45.8,
JH,2014,30/3/14,Nationals,U16,MK1 500m,Adelaide,2,B Final,02:07.9,127.9,
JH,2014,29/3/14,Nationals,U16,MK1 500m,Adelaide,4,Semi-Final,02:05.4,125.4,
JH,2014,30/3/14,Nationals,U16,MK2 1000m,Adelaide,6,Final,04:01.8,241.8,Angus Schmidt
JH,2014,28/3/14,Nationals,U16,MK2 1000m,Adelaide,2,Heat,03:58.8,238.8,Angus Schmidt
JH,2014,30/3/14,Nationals,U16,MK2 200m,Adelaide,5,Final,00:45.1,45.1,Angus Schmidt
JH,2014,29/3/14,Nationals,U16,MK2 200m,Adelaide,1,Semi-Final,00:41.2,41.2,Angus Schmidt
JH,2014,30/3/14,Nationals,U16,MK2 500m,Adelaide,3,Final,01:49.0,109,Angus Schmidt
